Id,TimeToEnd,DistanceToRadar,Composite,HybridScan,HydrometeorType,Kdp,RR1,RR2,RR3,RadarQualityIndex,Reflectivity,ReflectivityQC,RhoHV,Velocity,Zdr,LogWaterVolume,MassWeightedMean,MassWeightedSD,Expected
747,56.0 50.0 44.0 38.0 32.0 24.0 18.0 12.0 6.0 1.0 55.0 49.0 43.0 37.0 31.0 26.0 20.0 14.0 8.0 2.0 56.0 51.0 45.0 39.0 33.0 27.0 21.0 16.0 10.0 4.0,13.0 13.0 13.0 13.0 13.0 13.0 13.0 13.0 13.0 13.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 39.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0 31.0,28.5 27.5 31.0 38.0 47.0 39.0 38.0 39.0 31.0 34.0 23.0 29.5 25.0 27.0 36.5 29.0 29.5 25.5 29.5 36.5 18.0 23.0 20.5 30.0 23.5 19.5 29.5 25.5 27.0 32.0,22.5 33.5 26.5 33.0 34.0 46.0 30.0 38.5 42.0 40.5 31.0 29.0 25.0 35.0 32.5 33.0 32.5 32.5 35.5 37.0 22.5 23.5 23.0 22.0 26.0 27.5 34.0 28.5 33.5 27.0,1.0 1.0 1.0 10.0 13.0 1.0 13.0 1.0 13.0 1.0 1.0 1.0 1.0 1.0 13.0 1.0 13.0 1.0 1.0 5.0 9.0 9.0 9.0 9.0 4.0 9.0 9.0 9.0 9.0 9.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,1.48442 0.852712 1.81813 5.92931 11.7675 7.34488 6.52797 8.96842 4.34142 2.89267 0.0 0.983495 0.901418 1.23496 5.24223 1.84991 1.96144 1.55628 2.05842 0.0 0.370673 0.484115 0.758566 1.682 0.0 1.12323 1.96616 1.19543 2.1567 5.49821,1.48442 0.852712 1.81813 8.29974 25.2593 7.34488 11.4391 8.96842 5.89316 2.89267 -99900.0 0.983495 0.901418 1.23496 9.19488 1.84991 2.99069 1.55628 2.05842 -99900.0 0.325372 0.520979 0.877776 2.23734 -99900.0 1.16324 2.29494 1.29929 2.38719 4.08323,-15.9764 -6.55665 7.62974 15.0721 96.1051 8.57396 11.178 4.11732 29.9641 7.39394 -99900.0 0.6116 4.55786 13.5935 13.2226 -3.89025 0.0733457 4.03226 -2.05571 -99900.0 15.1903 4.80061 -6.59226 -0.241164 -99900.0 3.01696 4.50633 -5.71292 -11.0142 -2.62217,0.980133 1.0 1.0 0.983618 1.0 1.0 1.0 1.0 1.0 1.0 0.837805 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.998852 0.996914 0.943733 0.954851 0.929763 0.966498 0.726232 0.887466 0.969707 0.943628 0.990771 0.921437,28.5 27.5 31.0 38.0 47.0 39.0 38.0 39.0 31.0 34.0 23.0 29.5 25.0 27.0 36.5 29.0 29.5 25.5 29.5 36.5 18.0 23.0 20.5 30.0 23.5 19.5 29.5 25.5 27.0 32.0,28.5 27.5 31.0 38.0 47.0 39.0 38.0 39.0 31.0 34.0 23.0 29.5 25.0 27.0 36.5 29.0 29.5 25.5 29.5 36.5 18.0 23.0 20.5 30.0 23.5 19.5 29.5 25.5 27.0 32.0,0.991667 0.988333 0.991667 0.955 0.985 0.971667 0.991667 0.988333 0.918333 0.991667 0.951667 0.991667 0.985 0.981667 0.995 0.975 0.985 0.915 0.978333 0.981667 1.05167 1.005 1.03167 0.998333 0.868333 0.928333 0.988333 1.00833 0.958333 0.961667,-6.0 -6.0 -5.5 -6.0 -5.5 -5.0 -6.0 -6.5 -6.0 -5.5 2.5 2.0 1.5 2.0 2.0 2.5 2.5 2.0 -99901.0 -99901.0 -2.0 -2.0 -3.5 -3.0 -4.5 -3.0 -3.5 -2.0 -99901.0 -2.0,0.0625 1.875 1.4375 0.0 1.125 2.625 -0.0625 1.375 0.0625 1.5 2.4375 0.8125 -0.0625 1.5625 -0.6875 -0.375 0.6875 2.5625 0.625 -0.0625 -0.3125 -0.125 0.4375 0.1875 1.1875 -1.75 -0.625 0.5 0.25 1.375,-9.62483301937 -11.130448655 -9.94639025455 -7.40272009384 -6.14927217111 -9.03694148624 -7.36559613235 -8.11773657175 -9.03818618603 -9.43152515086 -12.5664775127 -9.95735120641 -10.2194398698 -11.1020096647 -7.20498347466 -9.12132653485 -9.79013967472 -12.1221628812 -9.67034251927 -7.70397875602 -11.7082581288 -10.7967935841 -11.6282966566 -9.29705340436 -11.563037786 -10.307021092 -8.84257401476 -10.5455956553 -10.0840350599 -9.74548431492,1.65458225963 2.36233160774 2.08353195633 1.62183472807 2.03403999721 2.74210433961 1.62553707613 2.08550071432 1.62025081032 2.20282316247 2.62505235562 1.92761876924 1.55124232274 2.24351667011 1.36079946942 1.46543067811 1.8235616447 2.73277021783 1.76316338751 1.5839287844 1.48481414806 1.61098563976 1.71666967938 1.63859962697 2.03142080508 1.10827290187 1.3896108588 1.72316529305 1.68556209535 2.11114094753,0.607584345355 0.931572198585 0.837368303783 0.616430762528 0.796441221012 1.1006459556 0.601821147785 0.819957608028 0.625571642028 0.862685564435 1.03137018406 0.729356429202 0.592405440846 0.866259114827 0.545467747527 0.56374465785 0.706976086315 1.04613344049 0.683455616661 0.614401404508 0.575366499039 0.593777045968 0.677250212708 0.634981222655 0.78688722711 0.419338820514 0.545349312501 0.686232715809 0.645709820172 0.836908086287,0.8
748,31.0 22.0 13.0 4.0,71.0 71.0 71.0 71.0,13.0 13.0 8.5 12.0,8.0 16.5 9.5 10.5,9.0 9.0 9.0 9.0,0.0 0.0 0.0 0.0,0.0 0.131149 0.0 0.0,-99900.0 0.111081 -99900.0 -99900.0,-99900.0 -3.19818 -99900.0 -99900.0,0.766026 0.940078 0.981723 0.887977,13.0 13.0 8.5 12.0,13.0 13.0 8.5 12.0,1.025 1.03167 1.05167 0.998333,-4.5 -3.5 -6.0 -7.5,1.25 0.1875 -0.25 -0.4375,-13.9152593733 -13.260140703 nan -13.0212718369,2.00482999753 1.69417258101 nan 1.44876664445,0.804816732482 0.63629997856 nan 0.57585691192,0.0
749,3.0 54.0 44.0 34.0 25.0 15.0 5.0,82.0 19.0 19.0 19.0 19.0 19.0 19.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0,6.0 -5.0 0.5 -7.5 1.5 -7.5 -4.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.985 0.815 0.605 0.611667 0.658333 0.815 0.651667,-99900.0 -4.5 -0.5 -5.5 -3.5 4.5 0.0,-1.5 2.5625 -7.875 -0.375 4.25 -4.5625 2.0625,nan nan nan nan nan nan nan,nan nan nan nan nan nan nan,nan nan nan nan nan nan nan,0.0
750,57.0 51.0 46.0 40.0 34.0 28.0 23.0 17.0 11.0 5.0,15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0,16.5 18.0 18.0 15.5 15.5 15.0 16.5 19.0 20.5 23.0,7.5 8.5 3.0 10.0 8.5 6.5 11.0 8.0 5.0 13.5,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 6.0 4.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0940436 0.114603 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 0.0940436 0.114603 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 1.75636 1.7635 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.972634 0.95812 0.977399 0.964814 0.988807 1.0 0.998335 1.0 0.937356 0.935673,10.0 10.5 11.5 14.0 12.5 14.0 13.0 12.0 15.0 14.0,10.0 10.5 11.5 14.0 12.5 14.0 13.0 12.0 15.0 14.0,1.00833 1.015 1.025 1.01167 0.998333 1.01167 1.01833 0.915 0.991667 0.988333,1.0 -0.5 2.0 2.5 2.0 2.0 -99901.0 0.5 0.5 0.5,0.9375 0.4375 0.1875 1.4375 0.0 0.4375 -0.375 -0.1875 2.25 1.125,-14.3558741005 -13.8932934536 -13.5463223011 -13.9069777867 -13.2344825153 -13.1452400746 -12.8315721526 -13.1272970792 -14.1481713329 -13.6556773166,1.86205455322 1.68361908169 1.62278532396 2.11872134366 1.57406407932 1.73627008858 1.45939357766 1.51545432986 2.42101750004 1.97178508376,0.745706699778 0.674474266752 0.656022353333 0.851646416071 0.629614889984 0.694119751684 0.574541595428 0.589681490116 0.973326498874 0.785940087822,0.0
751,36.0 60.0 55.0 36.0 31.0 60.0 55.0 50.0 46.0 42.0 37.0 33.0 30.0 26.0 54.0 35.0,33.0 13.0 13.0 13.0 13.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 97.0 97.0,24.5 21.0 13.5 31.0 15.5 12.5 20.5 18.5 10.5 14.0 9.5 26.0 31.5 23.0 -99900.0 -99900.0,-99900.0 15.5 15.0 19.0 20.5 22.0 21.0 -99900.0 13.0 10.0 -99900.0 19.5 14.5 -99900.0 -99900.0 -99900.0,9.0 9.0 8.0 9.0 9.0 9.0 9.0 9.0 8.0 9.0 9.0 9.0 9.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.66031 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.735019 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 0.445561 -99900.0 -99900.0 -99900.0 -99900.0,3.63005 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.979675 0.901009 1.0 0.98012 0.41228 0.88464 0.48139 0.533877 0.145489 0.0692464 0.438748 0.984716 0.982331 0.745219 0.0 0.0,24.5 21.0 13.5 31.0 15.5 12.5 20.5 16.5 8.5 14.0 9.5 26.0 31.5 8.5 -1.5 -2.0,24.5 21.0 13.5 31.0 15.5 12.5 20.5 16.5 8.5 14.0 9.5 26.0 31.5 8.5 -99900.0 -99900.0,0.998333 1.00833 1.05167 0.998333 1.015 0.985 1.01833 1.04833 1.05167 1.05167 1.05167 0.925 0.995 1.05167 0.991667 1.02167,-27.5 -12.0 -10.5 -12.5 -11.5 25.0 26.0 26.5 -99900.0 23.5 23.5 27.0 -28.0 -99900.0 -99901.0 -99901.0,-0.1875 1.5625 0.125 0.5 -0.375 -0.1875 1.75 2.3125 4.25 4.0 5.0 -0.625 0.8125 5.25 -2.1875 1.1875,-10.2785025167 -12.4967719465 -13.0474426293 -9.29633082148 -12.2416756779 -13.0015601888 -12.6341344599 -13.9236912172 nan -15.6258242875 -17.10754826 -9.6787614737 -9.36737227669 nan nan nan,1.51656225688 2.27073002562 1.6172597598 1.73840186215 1.46021291695 1.48267042954 2.27538566103 2.51821279973 nan 3.38990937458 3.83564896676 1.40887656495 1.84682714236 nan nan nan,0.58707314981 0.879199301792 0.63434181251 0.665151885501 0.566605357217 0.586948510187 0.879893405458 0.993708838507 nan 1.41756203247 1.7674468998 0.530555081928 0.730806616305 nan nan nan,0.0
752,53.0,97.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,0.0,-3.5,-99900.0,1.05167,-99900.0,-1.0,nan,nan,nan,0.0
753,9.0 48.0 36.0 26.0 17.0,0.0 1.0 1.0 1.0 1.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 0.0618687 999.0,8.0 3.0 7.5 4.0 10.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.961667 -99900.0 0.651667 0.361667 0.975,-99900.0 -99900.0 -99900.0 -99900.0 10.5,6.25 -99900.0 2.625 -1.5625 -1.3125,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
754,42.0 32.0 23.0 13.0 3.0,18.0 18.0 18.0 18.0 18.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0304579 0.0436257 0.161362 0.135153 0.0543373,3.5 9.0 4.5 9.5 9.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.645 0.611667 0.648333 0.441667 0.718333,-2.5 3.5 5.0 2.5 -1.0,-0.8125 6.5 1.875 7.9375 3.4375,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
755,58.0 48.0 39.0 29.0 19.0 9.0,33.0 33.0 33.0 33.0 33.0 33.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0,13.0 19.0 13.5 9.5 0.5 -1.5,-99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,0.965 0.988333 0.948333 0.751667 0.358333 0.545,-13.0 2.5 -9.5 -1.5 -3.5 -5.0,3.625 5.4375 6.1875 -1.8125 4.4375 4.0625,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
756,57.0 48.0 38.0 29.0 19.0 10.0,62.0 62.0 62.0 62.0 62.0 62.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0630678 0.0521296 0.1433 0.0812807 0.107757 0.125264,-2.5 -0.5 5.0 -2.0 0.5 0.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.891667 0.988333 0.995 0.505 0.705 0.775,-4.0 -2.5 -3.5 -1.0 -2.5 -4.0,7.5625 7.9375 3.8125 7.9375 7.9375 7.6875,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
757,16.0 10.0 5.0,49.0 49.0 49.0,-99900.0 -99900.0 22.0,-99900.0 -99900.0 -99900.0,8.0 8.0 9.0,0.0 0.0 0.0,0.0 0.0 0.381199,-99900.0 -99900.0 0.464039,-99900.0 -99900.0 1.28338,0.235072 0.908707 0.2713,12.5 15.0 22.0,-99900.0 -99900.0 22.0,0.991667 0.975 1.00167,-9.5 -99900.0 -1.5,1.0625 0.5625 -0.125,nan nan -10.9617377236,nan nan 1.55033884075,nan nan 0.599391207869,0.0
758,59.0 49.0 39.0 30.0 10.0,19.0 19.0 19.0 19.0 19.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.00506608 0.119796 0.067056 0.0756404 0.0918875,-3.0 0.5 0.0 2.0 2.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.405 0.545 0.491667 0.641667 0.685,-99900.0 8.0 5.0 5.5 -99900.0,-3.125 -1.125 0.75 7.9375 -0.4375,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
759,52.0,43.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,0.0312929,-4.0,-99900.0,0.928333,1.5,2.0,nan,nan,nan,0.0
760,57.0,30.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,5.0,-99900.0,0.241667,-99900.0,0.1875,nan,nan,nan,0.0
761,53.0 43.0 33.0 23.0 14.0 4.0,14.0 14.0 14.0 14.0 14.0 14.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0,2.0 6.5 -4.0 -2.0 6.0 11.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.901667 0.861667 0.571667 0.705 0.841667 0.958333,6.5 3.0 6.0 4.5 1.5 3.5,1.875 4.5625 2.4375 3.0 1.125 -5.125,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
762,58.0 53.0 49.0 44.0 39.0 35.0 30.0 25.0 21.0 6.0 58.0 54.0 44.0 40.0 35.0 30.0 26.0 21.0 16.0 12.0 7.0 2.0 59.0 55.0 50.0 45.0 41.0 36.0 31.0 27.0 22.0 18.0 13.0 8.0 4.0,58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0,18.5 20.0 21.5 17.0 24.5 18.5 14.0 20.0 20.0 -99900.0 19.0 14.5 16.5 20.5 20.0 22.0 18.0 27.5 22.5 21.5 23.0 22.5 15.5 18.0 17.0 15.0 15.5 20.5 18.5 21.0 17.0 21.0 18.0 18.5 20.0,-99900.0 15.5 21.5 22.0 18.5 24.5 -99900.0 20.5 24.0 -99900.0 18.0 13.0 18.5 19.5 21.5 23.5 25.0 22.0 24.5 24.5 21.5 24.5 21.0 20.0 14.5 16.5 15.5 20.0 -99900.0 20.0 17.5 21.5 20.5 21.0 16.0,11.0 9.0 9.0 8.0 9.0 9.0 8.0 9.0 9.0 8.0 9.0 8.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 8.0 8.0 9.0 9.0 9.0 13.0 9.0 9.0 9.0 9.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.99853 0.0 0.0 1.74274 1.99313 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 0.207336 0.494378 -99900.0 -99900.0 0.626445 0.636341 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 0.433592 -3.16266 -99900.0 -99900.0 9.42537 7.74182 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 0.923209 0.0 0.45 0.0 0.0 0.988062 0.885193 0.988792 0.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0 999.0,18.5 20.0 21.5 17.0 24.5 18.5 24.0 20.0 20.0 22.5 19.0 12.5 16.5 20.5 20.0 22.0 18.0 27.5 22.5 21.5 23.0 22.5 15.5 18.0 17.0 15.0 15.5 20.5 18.5 21.0 17.0 21.0 18.0 18.5 20.0,18.5 20.0 21.5 17.0 24.5 18.5 -99900.0 20.0 20.0 -99900.0 19.0 12.5 16.5 20.5 20.0 22.0 18.0 27.5 22.5 21.5 23.0 22.5 15.5 18.0 17.0 15.0 15.5 20.5 18.5 21.0 17.0 21.0 18.0 18.5 20.0,1.03167 0.981667 1.025 1.05167 1.01833 1.025 0.961667 1.045 1.05167 0.995 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,-99900.0 -99900.0 -14.0 -14.5 -13.5 -99900.0 -99901.0 -11.5 -99901.0 -15.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,1.125 1.0625 0.25 1.0625 0.125 -3.375 1.125 -0.3125 2.0 0.6875 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0 -99903.0,-12.7359281475 -12.2845334209 -11.2073250582 -12.9768502371 -10.5300318102 nan nan -11.2496746932 -13.0263517794 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,2.0346933916 1.97398025378 1.61267879163 1.96577571522 1.64033953122 nan nan 1.49639126507 2.47007832065 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,0.792127211354 0.773155305639 0.62612197712 0.779943123913 0.615217829541 nan nan 0.571600259769 0.948208595398 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,0.0
763,60.0 55.0 50.0 46.0 41.0 32.0 27.0 22.0 18.0 13.0 8.0 4.0,45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 9.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0372202 0.199073 0.155094 0.0449901 0.183836 0.0979042 0.0525501 0.138933 0.147797 0.146381 0.0512974 0.162143,4.5 1.0 9.0 7.0 -2.0 -4.5 -2.5 1.0 -1.5 1.0 3.5 3.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.208333 1.05167 0.848333 0.395 0.668333 -99900.0 0.918333 0.798333 0.768333 0.751667 0.521667 0.615,-1.5 1.0 -4.0 -4.5 4.5 -4.0 -99900.0 -99900.0 -4.5 -3.5 -2.0 -4.0,-0.25 1.8125 2.8125 0.625 4.375 -99900.0 -1.0625 1.25 -3.1875 5.0 5.4375 1.5,nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan nan,0.0
764,35.0 27.0 18.0,65.0 65.0 65.0,-99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0,8.0 8.0 8.0,0.0 0.0 0.0,0.0 0.0 0.0,-99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0,0.00512929 0.0309091 0.0322931,9.0 -2.5 0.0,-99900.0 -99900.0 -99900.0,0.525 0.615 0.308333,-99900.0 0.0 0.5,6.6875 7.9375 -1.75,nan nan nan,nan nan nan,nan nan nan,0.0
765,35.0 30.0 26.0 21.0 12.0,64.0 64.0 64.0 64.0 64.0,17.0 23.0 18.0 14.0 20.0,5.0 -99900.0 -99900.0 -99900.0 9.5,1.0 8.0 1.0 6.0 1.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.996424 999.0 999.0 0.987486 0.734266,7.0 8.5 4.5 5.5 12.5,7.0 -99900.0 -99900.0 5.5 12.5,1.05167 1.05167 1.05167 0.885 0.991667,-99900.0 -99900.0 -99900.0 -99900.0 -8.0,0.3125 0.875 7.9375 0.8125 -1.5,nan nan nan nan -12.0593288303,nan nan nan nan 1.1346685892,nan nan nan nan 0.449712458491,0.0
766,52.0 42.0 32.0 23.0 3.0,67.0 67.0 67.0 67.0 67.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0490624 0.0776551 0.0256778 0.104114 0.0542646,7.0 6.5 12.0 6.0 7.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.875 0.711667 0.618333 1.05167 0.985,1.0 2.0 3.0 2.0 2.0,7.1875 7.9375 7.9375 7.9375 6.0,nan nan nan nan nan,nan nan nan nan nan,nan nan nan nan nan,0.0
